event_id_cnty,event_date,year,country,notes,note_hash
ESP11441,2022-09-29,2022,Spain,"On 29 September 2022, police agents and firefighters from the Professional Union of Local Police and Firefighters (SPPLB) held a rally in Town Hall square in Valencia (Valencia) to protest delays in updating payroll, overtime work and the alleged lack of compliance with the agreements adopted in terms of personnel by the municipal government.",d5701dc818b34736e30caf738065690db8e0e82174d92adb345a60dfa7b0aa82
ITA21258,2023-11-03,2023,Italy,"On 3 November 2023, at the call of UIL UILTUCS, Karibu and Aid consortium workers gathered outside the courthouse in Buozzi square in Latina (Latina, Lazio) to protest against the lack of oversight of project providers who did not notice that tax crimes were being committed and that false invoices were being issued by at least six people working in a cooperative managing asylum seekers and unaccompanied minors in the province of Latina.",3775184aaefc89dcaf5618a03293d4892159db35dabe3c3ba839009560dd9ced
ROU2944,2025-01-12,2025,Romania,"On 12 January 2025, over 100 border police officers protested in Sculeni, against pay cuts for weekend and public holiday working hours.",a7e5f4f41ba55a61569faa2e6bc4bfd842fdf01c7618daf07c852bc5814f0050
MDA2226,2026-04-24,2026,Moldova,"On 24 April 2026, members and supporters of the National Alternative Movement organized a flash mob titled 'Corridor of Shame' in front of the Parliament building in Chisinau - Centru (Centru, Chisinau) against rising fuel prices and the administrative-territorial reform law on the amalgamation of localities, carrying banners reading 'PAS is destroying town halls', 'People pay the crisis, PAS comments on it', and 'At the pump it is dire, from PAS no movement'.",32465c74ace937176ac9b7b17b8b1eaa41745766b5025e80e08a87f5aa31a4f7
FRA37574,2025-02-03,2025,France,"On 3 February 2025, at 3:30 pm, at the call of the Beziers-Herault tobacconists' federation, around 20 people, including national deputy Julien Gabarron (RN) and Mayor Robert Menard (Independent), staged a protest in front of the Flash tobacco shop in Beziers (Occitanie) against the sale of contraband cigarettes and tobacco.",d485184c220ee2b651fdd9dba319c3f633e6a8d4de5149adca592a6167b8268f
FRA32934,2024-04-19,2024,France,"On 19 April 2024, students' parents and local elected officials demonstrated in Bernaville (Hauts-de-France) to protest against the closure of classes at the local school.",484e64ec75af12ea1cf05c68cbfaf324ed1b7e1093d7bcadad70dcd5f9b83585
ITA10220,2021-07-21,2021,Italy,"On 21 July 2021, about 30 anarchist activists gathered outside Palazzo Ducale in Genova (Genova, Liguria) to protest against the participation of a magistrate and a police union representative in a conference organized by Amnesty International for the 20th anniversary of the July 2001 G8 summit and the anti-globalization demonstration recorded on that occasion. Protesters denounced a 'complacent' judiciary and 'murderous' police, notably in relation to the death of an anti-globalization activist in 2001.",34302e2dc72f00bd0100c03a449496397f194319a0cfd4b4ba0d13416f277243
BGR1857,2021-05-30,2021,Bulgaria,"On 30 May 2021, residents of the Gorublyane district in Sofia organized a protest and demanded compensation for forced expropriation.",01e982bf4b70ac08a6d8681ba7c7cc2aadecbabd09245924b8262e42084300bd
FRA4647,2020-11-28,2020,France,"On 28 November 2020, several hundred people, including union members and LDH activists, demonstrated in Nancy against a national security bill that they condemned as a violation of freedom of information, protesters' rights, and media rights, as well as the implementation of global surveillance of citizens.",31e510ce1ddef13e923005879468f555990946bebae196552703caa6018ae6e3
FRA31320,2024-02-17,2024,France,"On 17 February 2024, over 1,000 people, including health workers, gathered in Lannion (Bretagne) to protest against the closure of the local hospital's emergency unit at night.",ea82cfc9a04800a3e5e9b10b2b126edf7094d712624860648f8def88d3483c2f
